,x,y,z
0,-0.319473,1.5096889999999998,0.53067
1,-0.575455,1.471695,0.07962000000000001
2,-0.5549470000000001,1.252548,0.143784
3,-0.47677600000000003,1.116882,0.08401499999999999
4,-0.435547,0.953766,-0.002625
5,-0.32276900000000003,0.713547,-0.035019
6,-0.154678,0.580856,-0.030838
7,-0.15074200000000001,0.49704,-0.043442
8,-0.24522399999999997,0.441162,-0.036331
9,-0.256241,0.431183,0.000687
10,-0.163803,0.532928,-0.033157
11,-0.12208599999999999,0.626434,-0.161957
12,-0.113129,0.826355,-0.263046
13,-0.23675500000000002,1.1430360000000002,-0.223572
14,-0.033493,1.307663,-0.22378499999999998
15,-0.050888,1.321182,-0.519714
16,-0.14741500000000002,1.516037,-0.589508
17,0.137573,1.8972630000000001,-0.248901
18,0.262146,1.8626099999999999,-0.11738599999999999
19,-0.236969,1.5923770000000002,-0.058914
20,-0.405411,1.3636629999999998,0.11291500000000002
21,-0.11593599999999998,1.296051,0.498047
22,-0.358948,1.517578,0.820084
23,-0.607437,1.644989,0.5780489999999999
24,-0.619858,1.443573,0.13578800000000002
25,-0.409515,1.231491,0.045715
26,-0.168945,1.114563,0.018982
27,0.064163,1.034378,0.170547
28,0.084152,1.045807,0.27868699999999996
29,-0.03273,0.9374540000000001,0.17640699999999998
30,-0.256531,0.719254,0.21890300000000001
31,-0.309952,0.563126,0.321411
32,-0.367981,0.5993350000000001,0.296188
33,-0.321213,0.697739,0.247086
34,-0.287994,0.678497,0.212677
35,-0.275253,0.641617,0.169525
36,-0.296051,0.622833,0.074249
37,-0.317184,0.66185,-0.037094
38,-0.261932,0.709106,-0.062301999999999996
39,-0.18631,0.800247,-0.095001
40,-0.134872,0.969131,-0.237656
41,-0.153351,1.194473,-0.561279
42,-0.112823,1.384674,-0.716583
43,0.100662,1.213074,-0.544022
44,0.0032649999999999997,1.128372,-0.42363
45,0.06579600000000001,1.0807799999999999,-0.253418
46,0.220261,1.148575,-0.425674
47,0.466934,1.051682,-0.46438599999999997
48,0.442673,0.798325,-0.21702600000000002
49,0.200897,0.636475,0.10913099999999999
50,-0.280975,1.182343,0.348312
51,-1.023483,2.636658,-0.712662
52,-0.8876950000000001,1.341446,-0.41578699999999996
53,-0.891617,-0.34118699999999996,0.570114
54,-0.5024109999999999,-0.075409,0.662445
55,-0.185638,0.5185390000000001,0.553146
56,-0.438644,1.680466,0.230911
57,0.2146,2.360626,-0.47261000000000003
58,0.083633,1.409454,-0.062332000000000005
59,-0.212997,0.897324,0.294617
60,-0.294998,0.991943,0.0811
61,-0.08277899999999999,0.816467,0.033127
62,-0.040817,0.7058409999999999,0.163437
63,-0.038803,0.8144680000000001,0.11651600000000001
64,-0.185211,0.76622,0.080948
65,-0.589951,0.570282,0.098953
66,-0.879181,0.9478,0.013062
67,-0.429565,0.916092,0.020065
68,-0.240921,0.831406,0.10231
69,-0.174072,0.780762,0.22940100000000002
70,-0.199097,0.9051819999999999,0.20282
71,-0.168045,1.033279,-0.008072
72,-0.11804200000000001,1.109467,-0.206589
73,0.006927,1.161713,-0.263901
74,0.059401999999999996,1.282211,-0.136551
75,-0.076065,1.289886,-0.11802699999999999
76,-0.246094,1.307373,-0.24867199999999998
77,-0.225998,1.484955,-0.256912
